,workload,l3_stall_1,l3_stall_2,l3_stall_3,demand_l2_mlp_1,demand_l2_mlp_2,demand_l2_mlp_3,l3_miss_1,l3_miss_2,l3_miss_3,offcore_load_latency_1,offcore_load_latency_2,offcore_load_latency_3,(l3_miss/mlp)_1,(l3_miss/mlp)_2,(l3_miss/mlp)_3,(lat*l3_miss/mlp)_1,(lat*l3_miss/mlp)_2,(lat*l3_miss/mlp)_3
75,raytrace,842510838,1720985240,2611955202,1.113873655,1.217371673,1.11455456,6435556,6282897,6554372,96.78413085,141.7009423,184.8538193,5777635.525,5161034.335,5880709.866,559183432.7,731323428.4,1087071679
76,sssp-kron,1398694484908,1992656789294,3156929585342,4.446341981,5.424946106,5.935115288,22501818239,21824829174,21593812259,125.6576503,202.8316175,330.5166957,5060748439,4023049952,3638313868,635921757615,816001728942,1202523477586
77,sssp-road,7299870278,15417723961,27679889886,1.152927168,1.166890682,1.178229965,89402694,97499130,99859182,206.070786,208.7015848,214.4089878,77544095.14,83554639.24,84753558.25,15979572632,17437985631,18171924632
78,sssp-twitter,3429382756338,5512797334062,9088294703326,4.148337584,4.6798259,5.010272581,50650566075,49963604227,49352263306,150.7420843,247.6115999,406.3072815,12209846726,10676380980,9850215234,1840537743916,2643595775552,4002214174078
79,sssp-urand,2054702098361,3081304490737,4933020408965,3.974035046,4.779100515,5.20569704,31851099661,30468465959,29974745486,153.0920173,254.3955419,414.7451538,8014800898,6375355753,5758065684,1227002037971,1621862081415,2388129837592
80,sssp-web,1629026370518,2940535190399,4680588500131,1.940950717,2.033616236,2.096128691,11661278765,11541695779,11475079658,132.5338744,215.3026076,324.8163398,6008024142,5675454186,5474415625,796266716859,1221940085213,1778179646053
81,streamcluster,280478886944,565120265146,859719326392,1.004492752,1.004738733,1.00499911,1834627555,1827644465,1809789636,131.2612411,222.8324797,317.7425083,1826421894,1819024594,1800787301,239738404517,405337760824,572186674099
82,swaptions,1111330,2095351,2747166,1.338879526,1.342249899,1.448400114,7800,10431,9809,84.79265244,84.69302685,66.80774913,5825.76688,7771.280151,6772.299938,493982.2262,658173.2385,452442.1153
83,tc-kron,1485648812947,2817847630506,4883793168042,1.667919045,1.693105064,1.648820522,9422538776,9320303056,9194561530,163.792646,279.3522994,445.8190966,5649278245,5504858058,5576447775,925310231520,1537794756309,2486086909328
84,tc-road,410575200362,855887208429,1382548292040,1.545131737,1.609551012,1.634568602,2750115610,2727541807,2694582183,115.5764588,174.0397981,241.8841365,1779858340,1694597926,1648497456,205709724167,294927480909,398745383706
85,tc-twitter,400914684724,771139445602,1228246795703,1.649458715,1.692978868,1.690330769,2824124545,2882880570,2850703258,148.6285513,253.5889026,379.4631965,1712152308,1702844982,1686476582,254474717218,431822590292,639955794567
86,tc-urand,2127505825673,4073000470427,6222728778378,1.423774401,1.47860596,1.506476048,9369925040,9243893360,9099578591,153.0581615,264.9458172,389.9815913,6581046152,6251762544,6040307512,1007282825110,1656378335905,2355608735497
87,tc-web,99422657460,195824575470,301847930285,1.408783065,1.408436793,1.389469422,629825449,620079315,609456034,122.8619509,193.6966512,271.3887115,447070570.9,440260662.2,438625006.4,54927962534,85277015933,119037875323
88,vips,399941284,719718481,987684085,1.430379195,1.451831069,1.780548785,2175998,2428566,2497229,64.49564814,69.9738875,87.61253364,1521273.525,1672760.731,1402505.239,98115522,117049571.2,122877037.4
89,workloada,35051999242,65895482949,95190058921,1.460966839,1.400828945,1.3792255,199964519,210117773,207457231,82.43698211,112.6996854,144.4019293,136871360.5,149995310.8,150415745,11283261900,16904424343,21720323768
90,workloadb,45189760645,83997992490,122167263573,1.44800165,1.402761024,1.346785489,287814892,297423263,273464030,90.47788894,128.0928357,157.2651531,198766964.2,212027036.6,203049433.1,17984015310,27159144370,31932600166
91,workloadc,43338742808,83210695229,123063013523,1.472022307,1.354178275,1.31805036,271672696,277746543,281758576,89.74927548,119.6853635,151.1866286,184557458.6,205103381.3,213769203.8,16563898198,24547872740,32319045224
92,workloadd,49535492584,92477787827,135343537334,1.437633939,1.413717102,1.349731454,299801050,307920201,307028259,89.17441772,126.4534627,156.8149481,208537821.7,217808924.1,227473589.8,18596238825,27542692659,35671259173
93,workloade,281969439631,533042303198,824783059453,1.376564966,1.353035484,1.306647205,1723328963,1733146042,1771171723,93.3114908,137.6495769,183.0969965,1251905290,1280931700,1355508753,116817148936,176319706459,248189581301
94,workloadf,55585120061,104029403378,147715845668,1.505361659,1.392751254,1.3536888,347571354,365826431,330469281,89.06856018,115.0717837,139.6805949,230888937.4,262664585.7,244125001.9,20564945221,30225282388,34099525492
95,x264,10395963170,19165665546,30604866626,3.277921137,3.462059253,3.636312903,151030420,150656343,149439841,99.79235929,148.8976025,215.8547663,46075062.11,43516396.45,41096529.64,4597939152,6479487102,8870881800
